"idPredmet";"vysledek";"zkouskove_otazky";"idClovek";"termin";"datum_terminu";"mistnost";"zacatek";"idClovekPrvniZkousejici";"idClovekDruhyZkousejici";"semestrSplneni"
"8984";"S";"(null)";"2041";"-1";"31.10.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"1134";"S";"(null)";"2041";"-1";"23.10.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"1393";"S";"(null)";"2041";"-1";"20.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"U";"(null)";"2041";"-1";"16.11.2001 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"2041";"-1";"5.12.2003 0:00";"(null)";"(null)";"-1";"-1";"5"
"8982";"S";"(null)";"2041";"-1";"3.7.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"S";"(null)";"1984";"-1";"8.4.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"1391";"S";"(null)";"1984";"-1";"15.7.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"U";"(null)";"1984";"-1";"24.1.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"8970";"S";"(null)";"1984";"-1";"25.3.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"S";"(null)";"4686";"-1";"22.7.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8893";"S";"(null)";"4686";"-1";"29.1.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"Z";"(null)";"4686";"-1";"27.5.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"1133";"S";"(null)";"4686";"-1";"29.6.2005 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"U";"(null)";"4686";"-1";"16.9.2005 0:00";"(null)";"(null)";"-1";"-1";"5"
"8899";"S";"(null)";"3194";"-1";"21.5.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"1393";"S";"(null)";"3194";"-1";"22.3.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8825";"S";"(null)";"3194";"-1";"18.9.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"8893";"S";"(null)";"3194";"-1";"29.1.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"1135";"S";"(null)";"3194";"-1";"17.12.2002 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3194";"-1";"5.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"Z";"(null)";"3194";"-1";"29.5.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"S";"(null)";"3194";"-1";"1.7.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"S";"(null)";"3782";"-1";"13.11.2002 0:00";"(null)";"(null)";"-1";"-1";"2"
"(null)";"Z";"(null)";"3782";"-1";"29.1.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8893";"S";"(null)";"3782";"-1";"4.12.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"Z";"(null)";"3782";"-1";"15.1.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"1382";"S";"(null)";"2081";"-1";"22.2.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"1379";"S";"(null)";"2081";"-1";"28.2.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"1393";"S";"(null)";"2081";"-1";"28.5.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"8953";"S";"(null)";"2081";"-1";"29.4.2002 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"Z";"(null)";"2081";"-1";"5.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8825";"S";"(null)";"2081";"-1";"21.10.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"2081";"-1";"15.1.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"S";"(null)";"2081";"-1";"23.6.2005 0:00";"(null)";"(null)";"-1";"-1";"6"
"(null)";"-";"(null)";"2041";"-1";"(null)";"(null)";"(null)";"-1";"-1";"9"
"(null)";"Z";"(null)";"3849";"-1";"19.2.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8989";"S";"(null)";"1984";"-1";"19.3.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"(null)";"Z";"(null)";"1984";"-1";"13.6.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"S";"(null)";"1984";"-1";"30.6.2005 0:00";"(null)";"(null)";"-1";"-1";"5"
"(null)";"S";"(null)";"3844";"-1";"27.5.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"8972";"S";"(null)";"3844";"-1";"15.10.2002 0:00";"(null)";"(null)";"-1";"-1";"3"
"1133";"-";"(null)";"3820";"-1";"16.1.2004 0:00";"(null)";"(null)";"-1";"-1";"1"
"1133";"S";"(null)";"3820";"-1";"16.1.2004 0:00";"(null)";"(null)";"-1";"-1";"2"
"1391";"S";"(null)";"3784";"-1";"31.3.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"8966";"S";"(null)";"3784";"-1";"7.3.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"(null)";"Z";"(null)";"3784";"-1";"29.5.2003 0:00";"(null)";"(null)";"-1";"-1";"2"
"(null)";"Z";"(null)";"3784";"-1";"24.6.2004 0:00";"(null)";"(null)";"-1";"-1";"4"
"8956";"S";"(null)";"3784";"-1";"18.11.2004 0:00";"(null)";"(null)";"-1";"-1";"3"
"8999";"S";"(null)";"3784";"-1";"20.1.2004 0:00";"(null)";"(null)";"-1";"-1";"3"
"1133";"-";"(null)";"3784";"-1";"4.2.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
"1133";"S";"(null)";"3784";"-1";"4.2.2003 0:00";"(null)";"(null)";"-1";"-1";"2"
"8994";"S";"(null)";"3315";"-1";"13.5.2003 0:00";"(null)";"(null)";"-1";"-1";"2"
"1134";"-";"(null)";"3784";"-1";"21.2.2005 0:00";"(null)";"(null)";"-1";"-1";"3"
"1134";"S";"(null)";"3784";"-1";"21.2.2005 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"S";"(null)";"3784";"-1";"8.9.2005 0:00";"(null)";"(null)";"-1";"-1";"5"
"8893";"S";"(null)";"3315";"-1";"1.7.2004 0:00";"(null)";"(null)";"-1";"-1";"3"
"8997";"S";"(null)";"3315";"-1";"26.2.2003 0:00";"(null)";"(null)";"-1";"-1";"3"
"8856";"S";"(null)";"3315";"-1";"18.4.2003 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"Z";"(null)";"3315";"-1";"27.5.2004 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"U";"(null)";"3315";"-1";"10.6.2004 0:00";"(null)";"(null)";"-1";"-1";"5"
"1391";"S";"(null)";"3315";"-1";"26.7.2004 0:00";"(null)";"(null)";"-1";"-1";"1"
"1133";"-";"(null)";"3315";"-1";"(null)";"(null)";"(null)";"-1";"-1";"3"
"1133";"S";"(null)";"3315";"-1";"(null)";"(null)";"(null)";"-1";"-1";"4"
"1139";"-";"(null)";"3315";"-1";"18.10.2004 0:00";"(null)";"(null)";"-1";"-1";"3"
"1139";"S";"(null)";"3315";"-1";"18.10.2004 0:00";"(null)";"(null)";"-1";"-1";"4"
"(null)";"S";"(null)";"3315";"-1";"22.3.2005 0:00";"(null)";"(null)";"-1";"-1";"5"
"8893";"S";"(null)";"3280";"-1";"16.9.2003 0:00";"(null)";"(null)";"-1";"-1";"1"
